#OTUID,taxonomy,confidence
923a79a84b852b52dae3d41ba726b6b5,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae,1
f01a1156f09e83fc300f58f8062b8223,k__Fungi;p__Ascomycota,0.7
949714c9e93c3c09b33d31dfbf68eda7,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae,1
1aa933d6ad6ad90739558279a7c09460,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus,0.9
81dd6f7cfac12d88ac696e12971f1ac5,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,1
aa8d6ebdc5a19b1ad29be41059f94212,k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Debaryomyces,1
6a3359ac67ef27fb287617915176a82e,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria,1
6a5e49f97403038609127a5f448e668f,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Phlebia,0.7
eecc7ec58d29990b879ad586102c8323,k__Fungi;p__Ascomycota,0.7
1ecc477f1f15015e6728f76f6c5b9dcb,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Strobilurus,0.7
d1e8944c26aa1019d047dfe2b4080756,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus,0.9
f962c356e808ad1d645971e633b81c04,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Trametes,0.9
301d9d2f1b9f7e827f2675b42e075de8,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces,1
42f89a0f3a19b2ef103e7108917a406a,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Stereaceae;g__Stereum,1
855294c13c55c1ab09acfd621fdc15e9,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae,0.9
100dcff6cdd7999c1657c7a98a7e7f58,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae,1
29dea0815ec2ce7a5f40bc5c81f84654,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Golovinomyces,0.8
05a40409d82609f07fe22bc2696516da,k__Fungi;p__Ascomycota,0.7
11c3f2e54e2632da7b9874758c0530be,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus,1
33b1f6bb476b836a19f54cc2ae3e7fb5,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinellus,0.9
ae4e3e02343d050cffce03970d959d5c,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula,1
64dced4fa99795f777d3738830f5d34d,Unassigned,1
d20933b6aebf03ae3bc560e463c74af1,Unassigned,1
eef04c3e0ff7a4b26e3c14c8aa39d019,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Armillaria,0.857142857
64089028aca5973d18416ba68ca1e3c0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Pseudopithomyces;s__Pseudopithomyces_karoo,1
cf7d036e87b3702171776c3100de4f69,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae,0.8
831d87cff0ce8ccf61bf47f809b81c73,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae,1
1638a4355f717cd7fd339533a18376e0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales,0.6
e642fbeb3cd244a6d922289cd4e55c46,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Alutaceodontia;s__Alutaceodontia_alutacea,1
f6d3e1e4fec2f01e2e31dcb317bc113f,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporidiobolus,0.6
a91f5436f0f794aed49e0291edf01aac,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces,0.8
04fb82bef1e9bfb3d264a22f3669b858,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae;g__Athelia,0.833333333
d366334774d573f3e45b318dc4381fbd,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetales_fam_Incertae_sedis;g__Resinicium,1
bf8ba592f897d964c126731fbc663217,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae,0.833333333
42ee93242a86354b533ee3913e42eb16,Unassigned,1
c0ee795ab97961016fdcd504872825dd,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus,0.8
e8f5cd7700a04c34b279718d9a404242,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Pholiota,1
d27047ed263167dec4ec52062a1baa50,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria,0.6
486fb6a4b53631f5494b08f5c928eb1b,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus,0.8
e6fc8b7002b35b2a827c7823ebac19dd,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__unidentified,1
f6c4835e59b475c3aafcf70813f88b82,k__Fungi;p__Ascomycota,0.7
ae9df6fc4363f4fc25b1aaaaca53ca9f,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia,1
3667774c78c5afe91b91d8c2c8b43751,Unassigned,1
e0cec66f71c1f3e3d69557989c159d35,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium,0.9
35b603b43325e7a4c826fdc89a14d2bf,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia,1
309144dcc3bc362b0d86d53e86ae0799,k__Fungi;p__Ascomycota,0.7
1383a7f85e2753dbd9001b71a6aba0e5,k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia,1
da7ed5b042878b367f0fa79769673a5c,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Baeospora,1
9e1ba2eed082eae4bfbabc33e42001bf,k__Fungi;p__Ascomycota,0.7
918432b4f894bcff36b8b06b375db846,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis,0.7
0c4d004ee23f51e5f816aa39444f20ad,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales,0.6
9e5c3ead935d040babca9131fc4d11ce,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales,1
e6a310c7ff0a0f331e9c58d66ca3d3fd,k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.666666667
fc684663e78868d0ebc6af8e4a7c76f4,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula,1
734e60ee9a4e56bf6314589282ff60d3,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula,1
7cb21e5fdf485c4f6130acff76b57489,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Bondarzewiaceae,0.625
c62883ca16cee6ef78954b37365d1a5b,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Golovinomyces,0.8
12fdc90d1d69e7d52df1af340498f757,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium,0.9
1cd5a663799ef1a272daade7d85b5878,k__Fungi;p__Ascomycota,0.7
